Genotype;Environ;Group;     yield;MINTF; RADG
G144;LN96a;1;0,666666667;15,72;18,19
G145;LN96a;1;1,246666667;15,72;18,19
G146;LN96a;1;1,266666667;15,72;18,19
G147;LN96a;1;1,313333333;15,72;18,19
G148;LN96a;1;1,186666667;15,72;18,19
G149;LN96a;1;0,726666667;15,72;18,19
G150;LN96a;1;0,76;15,72;18,19
G151;LN96a;1;1,573333333;15,72;18,19
G152;LN96a;1;1,22;15,72;18,19
G153;LN96a;1;1,02;15,72;18,19
G154;LN96a;1;1,533333333;15,72;18,19
G155;LN96a;1;1,006666667;15,72;18,19
G156;LN96a;1;0,7;15,72;18,19
G157;LN96a;1;1,46;15,72;18,19
G158;LN96a;1;1,366666667;15,72;18,19
G159;LN96a;1;1,733333333;15,72;18,19
G160;LN96a;1;1,633333333;15,72;18,19
G161;LN96a;1;1,366666667;15,72;18,19
G162;LN96a;1;1,273333333;15,72;18,19
G163;LN96a;1;0,773333333;15,72;18,19
G164;LN96a;1;1,28;15,72;18,19
G165;LN96a;1;1,453333333;15,72;18,19
G166;LN96a;1;1;15,72;18,19
G167;LN96a;1;1,013333333;15,72;18,19
G168;LN96a;1;0,993333333;15,72;18,19
G169;LN96a;1;0,94;15,72;18,19
G170;LN96a;1;1,186666667;15,72;18,19
G171;LN96a;1;1,013333333;15,72;18,19
G172;LN96a;1;1,153333333;15,72;18,19
G173;LN96a;1;0,94;15,72;18,19
G174;LN96a;1;0,993333333;15,72;18,19
G175;LN96a;1;1,58;15,72;18,19
G176;LN96a;1;1,28;15,72;18,19
G177;LN96a;1;1,286666667;15,72;18,19
G178;LN96a;1;0,873333333;15,72;18,19
G179;LN96a;1;1,22;15,72;18,19
G180;LN96a;1;0,413333333;15,72;18,19
G181;LN96a;1;1,26;15,72;18,19
G182;LN96a;1;1,246666667;15,72;18,19
G183;LN96a;1;1,38;15,72;18,19
G184;LN96a;1;1,173333333;15,72;18,19
G185;LN96a;1;1,086666667;15,72;18,19
G186;LN96a;1;1,386666667;15,72;18,19
G187;LN96a;1;1,22;15,72;18,19
G188;LN96a;1;0,82;15,72;18,19
G189;LN96a;1;0,993333333;15,72;18,19
G190;LN96a;1;1,193333333;15,72;18,19
G191;LN96a;1;0,853333333;15,72;18,19
G192;LN96a;1;2;15,72;18,19
G193;LN96a;1;1,046666667;15,72;18,19
G194;LN96a;1;0,28;15,72;18,19
G195;LN96a;1;1,373333333;15,72;18,19
G196;LN96a;1;1,773333333;15,72;18,19
G197;LN96a;1;0,946666667;15,72;18,19
G198;LN96a;1;1,513333333;15,72;18,19
G199;LN96a;1;0,853333333;15,72;18,19
G200;LN96a;1;1,52;15,72;18,19
G201;LN96a;1;1,44;15,72;18,19
G202;LN96a;1;1,093333333;15,72;18,19
G203;LN96a;1;1,306666667;15,72;18,19
G204;LN96a;1;1,153333333;15,72;18,19
G205;LN96a;1;2,12;15,72;18,19
G206;LN96a;1;1,66;15,72;18,19
G207;LN96a;1;0,94;15,72;18,19
G208;LN96a;1;0,806666667;15,72;18,19
G209;LN96a;1;1,146666667;15,72;18,19
G210;LN96a;1;1,82;15,72;18,19
G211;LN96a;1;0,786666667;15,72;18,19
G001;LN96b;1;0,473333333;22,58;22,94
G002;LN96b;1;0,933333333;22,58;22,94
G003;LN96b;1;0,72;22,58;22,94
G004;LN96b;1;-0,026666667;22,58;22,94
G005;LN96b;1;2,02;22,58;22,94
G006;LN96b;1;0,24;22,58;22,94
G007;LN96b;1;0,313333333;22,58;22,94
G008;LN96b;1;0,38;22,58;22,94
G009;LN96b;1;0,826666667;22,58;22,94
G010;LN96b;1;0,98;22,58;22,94
G011;LN96b;1;0,42;22,58;22,94
G012;LN96b;1;0,093333333;22,58;22,94
G013;LN96b;1;1,246666667;22,58;22,94
G014;LN96b;1;1,693333333;22,58;22,94
G015;LN96b;1;0,26;22,58;22,94
G016;LN96b;1;0,28;22,58;22,94
G017;LN96b;1;0,38;22,58;22,94
G018;LN96b;1;0,92;22,58;22,94
G019;LN96b;1;0,953333333;22,58;22,94
G020;LN96b;1;0,806666667;22,58;22,94
G021;LN96b;1;0,206666667;22,58;22,94
G022;LN96b;1;0,126666667;22,58;22,94
G023;LN96b;1;0,946666667;22,58;22,94
G024;LN96b;1;0,42;22,58;22,94
G025;LN96b;1;1,026666667;22,58;22,94
G026;LN96b;1;1,1;22,58;22,94
G027;LN96b;1;0;22,58;22,94
G028;LN96b;1;0,513333333;22,58;22,94
G029;LN96b;1;0,273333333;22,58;22,94
G030;LN96b;1;0,433333333;22,58;22,94
G031;LN96b;1;0,353333333;22,58;22,94
G032;LN96b;1;0,573333333;22,58;22,94
G033;LN96b;1;0,673333333;22,58;22,94
G034;LN96b;1;0,68;22,58;22,94
G035;LN96b;1;0,32;22,58;22,94
G036;LN96b;1;0,726666667;22,58;22,94
G037;LN96b;1;0,393333333;22,58;22,94
G038;LN96b;1;0,433333333;22,58;22,94
G039;LN96b;1;0,573333333;22,58;22,94
G040;LN96b;1;0,193333333;22,58;22,94
G041;LN96b;1;1,926666667;22,58;22,94
G042;LN96b;1;0,426666667;22,58;22,94
G043;LN96b;1;0,446666667;22,58;22,94
G044;LN96b;1;0,273333333;22,58;22,94
G045;LN96b;1;0,353333333;22,58;22,94
G046;LN96b;1;0,593333333;22,58;22,94
G047;LN96b;1;0,566666667;22,58;22,94
G048;LN96b;1;0,473333333;22,58;22,94
G049;LN96b;1;0,66;22,58;22,94
G050;LN96b;1;1,193333333;22,58;22,94
G051;LN96b;1;0,14;22,58;22,94
G052;LN96b;1;0,413333333;22,58;22,94
G053;LN96b;1;0,806666667;22,58;22,94
G054;LN96b;1;0,16;22,58;22,94
G055;LN96b;1;0,486666667;22,58;22,94
G056;LN96b;1;0,66;22,58;22,94
G057;LN96b;1;0,433333333;22,58;22,94
G058;LN96b;1;0,393333333;22,58;22,94
G059;LN96b;1;0,166666667;22,58;22,94
G060;LN96b;1;1,553333333;22,58;22,94
G061;LN96b;1;0,693333333;22,58;22,94
G062;LN96b;1;0,906666667;22,58;22,94
G063;LN96b;1;0,326666667;22,58;22,94
G064;LN96b;1;0,546666667;22,58;22,94
G065;LN96b;1;0,313333333;22,58;22,94
G066;LN96b;1;0,513333333;22,58;22,94
G067;LN96b;1;0,473333333;22,58;22,94
G068;LN96b;1;0,913333333;22,58;22,94
G069;LN96b;1;0,726666667;22,58;22,94
G070;LN96b;1;0,18;22,58;22,94
G071;LN96b;1;0,113333333;22,58;22,94
G072;LN96b;1;0,193333333;22,58;22,94
G073;LN96b;1;0,153333333;22,58;22,94
G074;LN96b;1;0,233333333;22,58;22,94
G075;LN96b;1;0,193333333;22,58;22,94
G076;LN96b;1;-0,04;22,58;22,94
G077;LN96b;1;0,353333333;22,58;22,94
G078;LN96b;1;0,393333333;22,58;22,94
G079;LN96b;1;0,566666667;22,58;22,94
G080;LN96b;1;0,426666667;22,58;22,94
G081;LN96b;1;0,646666667;22,58;22,94
G082;LN96b;1;0,7;22,58;22,94
G083;LN96b;1;0,246666667;22,58;22,94
G084;LN96b;1;0,36;22,58;22,94
G085;LN96b;1;0,72;22,58;22,94
G086;LN96b;1;0,446666667;22,58;22,94
G087;LN96b;1;0,566666667;22,58;22,94
G088;LN96b;1;0,646666667;22,58;22,94
G089;LN96b;1;0,073333333;22,58;22,94
G090;LN96b;1;0,153333333;22,58;22,94
G091;LN96b;1;0,206666667;22,58;22,94
G092;LN96b;1;0,186666667;22,58;22,94
G093;LN96b;1;-0,006666667;22,58;22,94
G094;LN96b;1;0,086666667;22,58;22,94
G095;LN96b;1;0,646666667;22,58;22,94
G096;LN96b;1;0,8;22,58;22,94
G097;LN96b;1;0,366666667;22,58;22,94
G098;LN96b;1;0,633333333;22,58;22,94
G099;LN96b;1;0,733333333;22,58;22,94
G100;LN96b;1;0,66;22,58;22,94
G101;LN96b;1;1,346666667;22,58;22,94
G102;LN96b;1;0,38;22,58;22,94
G103;LN96b;1;0,68;22,58;22,94
G104;LN96b;1;1,233333333;22,58;22,94
G105;LN96b;1;0,74;22,58;22,94
G106;LN96b;1;1,246666667;22,58;22,94
G107;LN96b;1;0,226666667;22,58;22,94
G108;LN96b;1;0,313333333;22,58;22,94
G109;LN96b;1;0,553333333;22,58;22,94
G110;LN96b;1;-0,073333333;22,58;22,94
G111;LN96b;1;0,78;22,58;22,94
G112;LN96b;1;0,786666667;22,58;22,94
G113;LN96b;1;-0,3;22,58;22,94
G114;LN96b;1;0,553333333;22,58;22,94
G115;LN96b;1;2,313333333;22,58;22,94
G116;LN96b;1;0,913333333;22,58;22,94
G117;LN96b;1;0,326666667;22,58;22,94
G118;LN96b;1;0,353333333;22,58;22,94
G119;LN96b;1;0,726666667;22,58;22,94
G120;LN96b;1;0,806666667;22,58;22,94
G121;LN96b;1;0,833333333;22,58;22,94
G122;LN96b;1;0,626666667;22,58;22,94
G123;LN96b;1;1,213333333;22,58;22,94
G124;LN96b;1;0,953333333;22,58;22,94
G125;LN96b;1;0,82;22,58;22,94
G126;LN96b;1;0,44;22,58;22,94
G127;LN96b;1;0,86;22,58;22,94
G128;LN96b;1;0,313333333;22,58;22,94
G129;LN96b;1;1,28;22,58;22,94
G130;LN96b;1;0,32;22,58;22,94
G131;LN96b;1;1,38;22,58;22,94
G132;LN96b;1;1,073333333;22,58;22,94
G133;LN96b;1;0,453333333;22,58;22,94
G134;LN96b;1;0,6;22,58;22,94
G135;LN96b;1;0,933333333;22,58;22,94
G136;LN96b;1;1,926666667;22,58;22,94
G137;LN96b;1;0,793333333;22,58;22,94
G138;LN96b;1;0,226666667;22,58;22,94
G139;LN96b;1;-0,153333333;22,58;22,94
G140;LN96b;1;0,24;22,58;22,94
G141;LN96b;1;1;22,58;22,94
G142;LN96b;1;1,02;22,58;22,94
G143;LN96b;1;0,32;22,58;22,94
G144;LN96b;1;0,8;22,58;22,94
G145;LN96b;1;0,3;22,58;22,94
G146;LN96b;1;0,786666667;22,58;22,94
G147;LN96b;1;0,526666667;22,58;22,94
G148;LN96b;1;0,42;22,58;22,94
G149;LN96b;1;0,106666667;22,58;22,94
G150;LN96b;1;0,526666667;22,58;22,94
G151;LN96b;1;0,2;22,58;22,94
G152;LN96b;1;1,066666667;22,58;22,94
G153;LN96b;1;0,266666667;22,58;22,94
G154;LN96b;1;0,92;22,58;22,94
G155;LN96b;1;0,36;22,58;22,94
G156;LN96b;1;0,42;22,58;22,94
G157;LN96b;1;0,466666667;22,58;22,94
G158;LN96b;1;0,233333333;22,58;22,94
G159;LN96b;1;0,166666667;22,58;22,94
G160;LN96b;1;1,553333333;22,58;22,94
G161;LN96b;1;0,426666667;22,58;22,94
G162;LN96b;1;0,586666667;22,58;22,94
G163;LN96b;1;0,373333333;22,58;22,94
G164;LN96b;1;0,426666667;22,58;22,94
G165;LN96b;1;0,353333333;22,58;22,94
G166;LN96b;1;0,7;22,58;22,94
G167;LN96b;1;1,673333333;22,58;22,94
G168;LN96b;1;0,526666667;22,58;22,94
G169;LN96b;1;0,52;22,58;22,94
G170;LN96b;1;0,3;22,58;22,94
G171;LN96b;1;0,713333333;22,58;22,94
G172;LN96b;1;0,593333333;22,58;22,94
G173;LN96b;1;0,453333333;22,58;22,94
G174;LN96b;1;0,486666667;22,58;22,94
G175;LN96b;1;0,446666667;22,58;22,94
G176;LN96b;1;0,326666667;22,58;22,94
G177;LN96b;1;0,653333333;22,58;22,94
G178;LN96b;1;0,38;22,58;22,94
G179;LN96b;1;-0,04;22,58;22,94
G180;LN96b;1;0,353333333;22,58;22,94
G181;LN96b;1;0,953333333;22,58;22,94
G182;LN96b;1;0,293333333;22,58;22,94
G183;LN96b;1;0,846666667;22,58;22,94
G184;LN96b;1;0,766666667;22,58;22,94
G185;LN96b;1;0,646666667;22,58;22,94
G186;LN96b;1;1,473333333;22,58;22,94
G187;LN96b;1;0,72;22,58;22,94
G188;LN96b;1;0,266666667;22,58;22,94
G189;LN96b;1;0,2;22,58;22,94
G190;LN96b;1;0,273333333;22,58;22,94
G191;LN96b;1;0,68;22,58;22,94
G192;LN96b;1;0,773333333;22,58;22,94
G193;LN96b;1;0,38;22,58;22,94
G194;LN96b;1;0,126666667;22,58;22,94
G195;LN96b;1;0,493333333;22,58;22,94
G196;LN96b;1;0,54;22,58;22,94
G197;LN96b;1;1,126666667;22,58;22,94
G198;LN96b;1;0,62;22,58;22,94
G199;LN96b;1;0,333333333;22,58;22,94
G200;LN96b;1;1,626666667;22,58;22,94
G201;LN96b;1;0,54;22,58;22,94
G202;LN96b;1;1,193333333;22,58;22,94
G203;LN96b;1;1,053333333;22,58;22,94
G204;LN96b;1;1,073333333;22,58;22,94
G205;LN96b;1;0,653333333;22,58;22,94
G206;LN96b;1;0,806666667;22,58;22,94
G207;LN96b;1;1,106666667;22,58;22,94
G208;LN96b;1;1,24;22,58;22,94
G209;LN96b;1;0,293333333;22,58;22,94
G210;LN96b;1;1,16;22,58;22,94
G211;LN96b;1;0,16;22,58;22,94
G001;HN96b;2;4,38;22,55;22,79
G002;HN96b;2;2,713333333;22,55;22,79
G003;HN96b;2;3,826666667;22,55;22,79
G004;HN96b;2;2,286666667;22,55;22,79
G005;HN96b;2;3,306666667;22,55;22,79
G006;HN96b;2;2,24;22,55;22,79
G007;HN96b;2;3,853333333;22,55;22,79
G008;HN96b;2;3,54;22,55;22,79
G009;HN96b;2;4,006666667;22,55;22,79
G010;HN96b;2;4,46;22,55;22,79
G011;HN96b;2;2,353333333;22,55;22,79
G012;HN96b;2;1,693333333;22,55;22,79
G013;HN96b;2;4,026666667;22,55;22,79
G014;HN96b;2;4,72;22,55;22,79
G015;HN96b;2;2,306666667;22,55;22,79
G016;HN96b;2;2,68;22,55;22,79
G017;HN96b;2;2,466666667;22,55;22,79
G018;HN96b;2;4,626666667;22,55;22,79
G019;HN96b;2;5,62;22,55;22,79
G020;HN96b;2;3,46;22,55;22,79
G021;HN96b;2;2,686666667;22,55;22,79
G022;HN96b;2;2,606666667;22,55;22,79
G023;HN96b;2;3,286666667;22,55;22,79
G024;HN96b;2;1,906666667;22,55;22,79
G025;HN96b;2;4,226666667;22,55;22,79
G026;HN96b;2;3,186666667;22,55;22,79
G027;HN96b;2;2,653333333;22,55;22,79
G028;HN96b;2;3,94;22,55;22,79
G029;HN96b;2;2,5;22,55;22,79
G030;HN96b;2;4,446666667;22,55;22,79
G031;HN96b;2;3,173333333;22,55;22,79
G032;HN96b;2;1,74;22,55;22,79
G033;HN96b;2;3,926666667;22,55;22,79
G034;HN96b;2;3,786666667;22,55;22,79
G035;HN96b;2;2,726666667;22,55;22,79
G036;HN96b;2;2,826666667;22,55;22,79
G037;HN96b;2;3,453333333;22,55;22,79
G038;HN96b;2;2,02;22,55;22,79
G039;HN96b;2;3,46;22,55;22,79
G040;HN96b;2;2,42;22,55;22,79
G041;HN96b;2;4,366666667;22,55;22,79
G042;HN96b;2;4,606666667;22,55;22,79
G043;HN96b;2;2,04;22,55;22,79
G044;HN96b;2;2,04;22,55;22,79
G045;HN96b;2;4,446666667;22,55;22,79
G046;HN96b;2;2,72;22,55;22,79
G047;HN96b;2;3,88;22,55;22,79
G048;HN96b;2;4,16;22,55;22,79
G049;HN96b;2;2,32;22,55;22,79
G050;HN96b;2;4,7;22,55;22,79
G051;HN96b;2;4,373333333;22,55;22,79
G052;HN96b;2;2,573333333;22,55;22,79
G053;HN96b;2;3,046666667;22,55;22,79
G054;HN96b;2;3,266666667;22,55;22,79
G055;HN96b;2;4,013333333;22,55;22,79
G056;HN96b;2;4,5;22,55;22,79
G057;HN96b;2;3,54;22,55;22,79
G058;HN96b;2;2,686666667;22,55;22,79
G059;HN96b;2;1,333333333;22,55;22,79
G060;HN96b;2;3,46;22,55;22,79
G061;HN96b;2;5,266666667;22,55;22,79
G062;HN96b;2;4,266666667;22,55;22,79
G063;HN96b;2;3,12;22,55;22,79
G064;HN96b;2;1,126666667;22,55;22,79
G065;HN96b;2;4,126666667;22,55;22,79
G066;HN96b;2;3,8;22,55;22,79
G067;HN96b;2;3,186666667;22,55;22,79
G068;HN96b;2;4,593333333;22,55;22,79
G069;HN96b;2;4,366666667;22,55;22,79
G070;HN96b;2;3,653333333;22,55;22,79
G071;HN96b;2;1,6;22,55;22,79
G072;HN96b;2;4,04;22,55;22,79
G073;HN96b;2;1,073333333;22,55;22,79
G074;HN96b;2;1,693333333;22,55;22,79
G075;HN96b;2;4,006666667;22,55;22,79
G076;HN96b;2;0,673333333;22,55;22,79
G077;HN96b;2;4,293333333;22,55;22,79
G078;HN96b;2;2,546666667;22,55;22,79
G079;HN96b;2;2,713333333;22,55;22,79
G080;HN96b;2;1,58;22,55;22,79
G081;HN96b;2;1,853333333;22,55;22,79
G082;HN96b;2;3,98;22,55;22,79
G083;HN96b;2;4,66;22,55;22,79
G084;HN96b;2;2,613333333;22,55;22,79
G085;HN96b;2;3,146666667;22,55;22,79
G086;HN96b;2;1,773333333;22,55;22,79
G087;HN96b;2;2,413333333;22,55;22,79
G088;HN96b;2;2,36;22,55;22,79
G089;HN96b;2;3,48;22,55;22,79
G090;HN96b;2;2,506666667;22,55;22,79
G091;HN96b;2;2,993333333;22,55;22,79
G092;HN96b;2;2,346666667;22,55;22,79
G093;HN96b;2;0,726666667;22,55;22,79
G094;HN96b;2;3,833333333;22,55;22,79
G095;HN96b;2;1,82;22,55;22,79
G096;HN96b;2;3,353333333;22,55;22,79
G097;HN96b;2;2;22,55;22,79
G098;HN96b;2;2,973333333;22,55;22,79
G099;HN96b;2;2,766666667;22,55;22,79
G100;HN96b;2;3,066666667;22,55;22,79
G101;HN96b;2;4,18;22,55;22,79
G102;HN96b;2;1,52;22,55;22,79
G103;HN96b;2;3,56;22,55;22,79
G104;HN96b;2;3,053333333;22,55;22,79
G105;HN96b;2;3,953333333;22,55;22,79
G106;HN96b;2;3,446666667;22,55;22,79
G107;HN96b;2;3,293333333;22,55;22,79
G108;HN96b;2;4,12;22,55;22,79
G109;HN96b;2;2,906666667;22,55;22,79
G110;HN96b;2;2,613333333;22,55;22,79
G111;HN96b;2;3,093333333;22,55;22,79
G112;HN96b;2;2,98;22,55;22,79
G113;HN96b;2;0,993333333;22,55;22,79
G114;HN96b;2;4,853333333;22,55;22,79
G115;HN96b;2;3,426666667;22,55;22,79
G116;HN96b;2;5,286666667;22,55;22,79
G117;HN96b;2;0,993333333;22,55;22,79
G118;HN96b;2;2,106666667;22,55;22,79
G119;HN96b;2;4,273333333;22,55;22,79
G120;HN96b;2;2,38;22,55;22,79
G121;HN96b;2;4,586666667;22,55;22,79
G122;HN96b;2;4,213333333;22,55;22,79
G123;HN96b;2;4,52;22,55;22,79
G124;HN96b;2;3,433333333;22,55;22,79
G125;HN96b;2;3,726666667;22,55;22,79
G126;HN96b;2;3,466666667;22,55;22,79
G127;HN96b;2;3,313333333;22,55;22,79
G128;HN96b;2;3,62;22,55;22,79
G129;HN96b;2;2,02;22,55;22,79
G130;HN96b;2;3,986666667;22,55;22,79
G131;HN96b;2;4,086666667;22,55;22,79
G132;HN96b;2;3,2;22,55;22,79
G133;HN96b;2;3,633333333;22,55;22,79
G134;HN96b;2;3,493333333;22,55;22,79
G135;HN96b;2;3,813333333;22,55;22,79
G136;HN96b;2;3,753333333;22,55;22,79
G137;HN96b;2;5,066666667;22,55;22,79
G138;HN96b;2;2,206666667;22,55;22,79
G139;HN96b;2;3,06;22,55;22,79
G140;HN96b;2;2,68;22,55;22,79
G141;HN96b;2;2,54;22,55;22,79
G142;HN96b;2;4,173333333;22,55;22,79
G143;HN96b;2;2,606666667;22,55;22,79
G144;HN96b;2;2,853333333;22,55;22,79
G145;HN96b;2;4,26;22,55;22,79
G146;HN96b;2;4,533333333;22,55;22,79
G147;HN96b;2;4,186666667;22,55;22,79
G148;HN96b;2;3,553333333;22,55;22,79
G149;HN96b;2;3,34;22,55;22,79
G150;HN96b;2;3,153333333;22,55;22,79
G151;HN96b;2;2,66;22,55;22,79
G152;HN96b;2;1,713333333;22,55;22,79
G153;HN96b;2;3,466666667;22,55;22,79
G154;HN96b;2;3,633333333;22,55;22,79
G155;HN96b;2;2,96;22,55;22,79
G156;HN96b;2;2,34;22,55;22,79
G157;HN96b;2;2,46;22,55;22,79
G158;HN96b;2;2,42;22,55;22,79
G159;HN96b;2;3,053333333;22,55;22,79
G160;HN96b;2;4,453333333;22,55;22,79
G161;HN96b;2;5,386666667;22,55;22,79
G162;HN96b;2;3,233333333;22,55;22,79
G163;HN96b;2;2,7;22,55;22,79
G164;HN96b;2;2,986666667;22,55;22,79
G165;HN96b;2;3,686666667;22,55;22,79
G166;HN96b;2;4,8;22,55;22,79
G167;HN96b;2;2,913333333;22,55;22,79
G168;HN96b;2;4,173333333;22,55;22,79
G169;HN96b;2;2,36;22,55;22,79
G170;HN96b;2;2,066666667;22,55;22,79
G171;HN96b;2;2,28;22,55;22,79
G172;HN96b;2;4,86;22,55;22,79
G173;HN96b;2;2,746666667;22,55;22,79
G174;HN96b;2;3,42;22,55;22,79
G175;HN96b;2;1,613333333;22,55;22,79
G176;HN96b;2;2,366666667;22,55;22,79
G177;HN96b;2;4,293333333;22,55;22,79
G178;HN96b;2;1,72;22,55;22,79
G179;HN96b;2;3,42;22,55;22,79
G180;HN96b;2;2,573333333;22,55;22,79
G181;HN96b;2;5,226666667;22,55;22,79
G182;HN96b;2;3,266666667;22,55;22,79
G183;HN96b;2;2,746666667;22,55;22,79
G184;HN96b;2;2,953333333;22,55;22,79
G185;HN96b;2;2,673333333;22,55;22,79
G186;HN96b;2;4,806666667;22,55;22,79
G187;HN96b;2;3,906666667;22,55;22,79
G188;HN96b;2;1,726666667;22,55;22,79
G189;HN96b;2;2,653333333;22,55;22,79
G190;HN96b;2;3,84;22,55;22,79
G191;HN96b;2;4,46;22,55;22,79
G192;HN96b;2;4,38;22,55;22,79
G193;HN96b;2;3,173333333;22,55;22,79
G194;HN96b;2;3,826666667;22,55;22,79
G195;HN96b;2;2,72;22,55;22,79
G196;HN96b;2;2,666666667;22,55;22,79
G197;HN96b;2;3,533333333;22,55;22,79
G198;HN96b;2;3,6;22,55;22,79
G199;HN96b;2;1,946666667;22,55;22,79
G200;HN96b;2;3,813333333;22,55;22,79
G201;HN96b;2;4,686666667;22,55;22,79
G202;HN96b;2;1,96;22,55;22,79
G203;HN96b;2;3,073333333;22,55;22,79
G204;HN96b;2;2,373333333;22,55;22,79
G205;HN96b;2;3,726666667;22,55;22,79
G206;HN96b;2;4,206666667;22,55;22,79
G207;HN96b;2;3;22,55;22,79
G208;HN96b;2;1,993333333;22,55;22,79
G209;HN96b;2;4,113333333;22,55;22,79
G210;HN96b;2;4,3;22,55;22,79
G211;HN96b;2;4,253333333;22,55;22,79
