"marker";"chrom";"loc"
"IWA7825";"IWA7825";"2B";107006
"IWA470";"IWA470";"2B";107396
"IWA5415";"IWA5415";"2B";107396
"IWA6076";"IWA6076";"2B";107486
"IWA4956";"IWA4956";"2B";107867
"IWA2924";"IWA2924";"2B";108038
"IWA5411";"IWA5411";"2B";108038
"IWA6093";"IWA6093";"2B";108038
"IWA2130";"IWA2130";"2B";108453
"IWA2131";"IWA2131";"2B";108453
"IWA8478";"IWA8478";"2B";108612
"IWA4356";"IWA4356";"2B";109136
"IWA1707";"IWA1707";"2B";109245
"IWA1708";"IWA1708";"2B";109245
"IWA3741";"IWA3741";"2B";109245
"IWA1389";"IWA1389";"2B";109476
"IWA2318";"IWA2318";"2B";109526
"IWA3395";"IWA3395";"2B";109526
"IWA4357";"IWA4357";"2B";109526
"IWA4358";"IWA4358";"2B";109526
"IWA4890";"IWA4890";"2B";109526
"IWA4948";"IWA4948";"2B";109526
"IWA7850";"IWA7850";"2B";109526
"IWA8141";"IWA8141";"2B";109526
"IWA4636";"IWA4636";"2B";109653
"IWA3742";"IWA3742";"2B";110873
"IWA1273";"IWA1273";"2B";112946
"IWA4097";"IWA4097";"2B";113857
"IWA4095";"IWA4095";"2B";114094
"IWA2676";"IWA2676";"2B";114368
"IWA4909";"IWA4909";"2B";114568
"IWA3509";"IWA3509";"2B";114817
"IWA7909";"IWA7909";"2B";115535
"IWA2873";"IWA2873";"2B";115728
"IWA2459";"IWA2459";"2B";115797
"IWA5024";"IWA5024";"2B";115797
"IWA7955";"IWA7955";"2B";115797
"IWA1040";"IWA1040";"2B";115862
"IWA2502";"IWA2502";"2B";115959
"IWA8195";"IWA8195";"2B";119071
"IWA8449";"IWA8449";"2B";126143
"IWA8534";"IWA8534";"2B";126143
"IWA5081";"IWA5081";"2B";130618
"IWA7112";"IWA7112";"2B";130618
"IWA570";"IWA570";"2B";133474
"IWA1348";"IWA1348";"2B";140522
"IWA1667";"IWA1667";"2B";147470
"IWA6656";"IWA6656";"2B";152590
"IWA692";"IWA692";"2B";152590
"IWA4118";"IWA4118";"2B";153176
"IWA5093";"IWA5093";"2B";153176
"IWA3252";"IWA3252";"2B";154473
"IWA3206";"IWA3206";"2B";155290
"IWA7456";"IWA7456";"2B";155409
"IWA6852";"IWA6852";"2B";157214
"IWA8018";"IWA8018";"2B";157214
"IWA1799";"IWA1799";"2D";3035
"IWA1601";"IWA1601";"2D";5910
"IWA2160";"IWA2160";"2D";8520
"IWA4746";"IWA4746";"2D";8520
"IWA989";"IWA989";"2D";19032
"IWA547";"IWA547";"2D";25158
"IWA927";"IWA927";"2D";28122
"IWA4496";"IWA4496";"2D";38251
"IWA3248";"IWA3248";"2D";38731
"IWA2406";"IWA2406";"2D";39688
"IWA2415";"IWA2415";"2D";40046
"IWA609";"IWA609";"2D";40046
"IWA209";"IWA209";"2D";41200
"IWA144";"IWA144";"2D";44298
"IWA1858";"IWA1858";"2D";47110
"IWA6520";"IWA6520";"2D";47110
"IWA2961";"IWA2961";"2D";50830
"IWA8544";"IWA8544";"2D";50830
"IWA8562";"IWA8562";"2D";50830
"IWA5542";"IWA5542";"2D";52111
"IWA4789";"IWA4789";"2D";55797
"IWA1072";"IWA1072";"2D";60329
"IWA5252";"IWA5252";"2D";61647
"IWA8365";"IWA8365";"2D";75198
"IWA176";"IWA176";"2D";76394
"IWA2792";"IWA2792";"2D";77805
"IWA1083";"IWA1083";"2D";80408
"IWA5205";"IWA5205";"2D";80408
"IWA5206";"IWA5206";"2D";80408
"IWA5629";"IWA5629";"2D";80408
"IWA7055";"IWA7055";"2D";80408
"IWA7840";"IWA7840";"2D";80408
"IWA8205";"IWA8205";"2D";80408
"IWA8293";"IWA8293";"2D";82486
"IWA7348";"IWA7348";"2D";85975
"IWA6813";"IWA6813";"2D";103328
"IWA2174";"IWA2174";"3A";15050
"IWA5427";"IWA5427";"3A";15524
"IWA447";"IWA447";"3A";20736
"IWA2737";"IWA2737";"3A";26013
"IWA2738";"IWA2738";"3A";26013
"IWA2993";"IWA2993";"3A";26013
"IWA8280";"IWA8280";"3A";26013
"IWA5969";"IWA5969";"3A";35548
"IWA3939";"IWA3939";"3A";38389
"IWA8105";"IWA8105";"3A";38389
"IWA8106";"IWA8106";"3A";38389
"IWA4257";"IWA4257";"3A";47198
"IWA2048";"IWA2048";"3A";59009
"IWA2049";"IWA2049";"3A";59009
"IWA7085";"IWA7085";"3A";59009
"IWA3448";"IWA3448";"3A";73224
"IWA3739";"IWA3739";"3A";75575
"IWA4333";"IWA4333";"3A";77512
"IWA4334";"IWA4334";"3A";80614
"IWA4676";"IWA4676";"3A";81820
"IWA6413";"IWA6413";"3A";81820
"IWA5067";"IWA5067";"3A";82416
"IWA7022";"IWA7022";"3A";83854
"IWA7649";"IWA7649";"3A";83854
"IWA5151";"IWA5151";"3A";84777
"IWA1422";"IWA1422";"3A";85386
"IWA143";"IWA143";"3A";85386
"IWA1699";"IWA1699";"3A";85386
"IWA1916";"IWA1916";"3A";85386
"IWA2019";"IWA2019";"3A";85386
"IWA2154";"IWA2154";"3A";85386
"IWA3156";"IWA3156";"3A";85386
"IWA4138";"IWA4138";"3A";85386
"IWA4912";"IWA4912";"3A";85386
"IWA4913";"IWA4913";"3A";85386
"IWA5399";"IWA5399";"3A";85386
"IWA6306";"IWA6306";"3A";85386
"IWA720";"IWA720";"3A";85386
"IWA7245";"IWA7245";"3A";85386
"IWA7928";"IWA7928";"3A";85386
"IWA1308";"IWA1308";"3A";85728
"IWA1812";"IWA1812";"3A";85728
"IWA6236";"IWA6236";"3A";85728
"IWA6334";"IWA6334";"3A";85728
"IWA7662";"IWA7662";"3A";85728
"IWA1614";"IWA1614";"3A";86158
"IWA2069";"IWA2069";"3A";86158
"IWA2519";"IWA2519";"3A";86158
"IWA2716";"IWA2716";"3A";86158
"IWA2763";"IWA2763";"3A";86158
"IWA4381";"IWA4381";"3A";86158
"IWA4451";"IWA4451";"3A";86158
"IWA5039";"IWA5039";"3A";86158
"IWA5387";"IWA5387";"3A";86158
"IWA5444";"IWA5444";"3A";86158
"IWA5616";"IWA5616";"3A";86158
"IWA6877";"IWA6877";"3A";86158
"IWA7941";"IWA7941";"3A";86158
"IWA8526";"IWA8526";"3A";86158
"IWA3498";"IWA3498";"3A";86551
"IWA1487";"IWA1487";"3A";86664
"IWA2156";"IWA2156";"3A";86664
"IWA3069";"IWA3069";"3A";86664
"IWA3071";"IWA3071";"3A";86664
"IWA4397";"IWA4397";"3A";86664
"IWA462";"IWA462";"3A";86664
"IWA5005";"IWA5005";"3A";86664
"IWA5006";"IWA5006";"3A";86664
"IWA5164";"IWA5164";"3A";86664
"IWA5786";"IWA5786";"3A";86664
"IWA6256";"IWA6256";"3A";86664
"IWA6923";"IWA6923";"3A";86664
"IWA7011";"IWA7011";"3A";86664
"IWA7012";"IWA7012";"3A";86664
"IWA7415";"IWA7415";"3A";86664
"IWA8388";"IWA8388";"3A";86664
"IWA7319";"IWA7319";"3A";87439
"IWA3836";"IWA3836";"3A";87781
"IWA6170";"IWA6170";"3A";87781
"IWA1019";"IWA1019";"3A";88017
"IWA1435";"IWA1435";"3A";88017
"IWA1507";"IWA1507";"3A";88017
"IWA1604";"IWA1604";"3A";88017
"IWA1713";"IWA1713";"3A";88017
"IWA1982";"IWA1982";"3A";88017
"IWA2316";"IWA2316";"3A";88017
"IWA249";"IWA249";"3A";88017
"IWA2748";"IWA2748";"3A";88017
"IWA2886";"IWA2886";"3A";88017
"IWA3376";"IWA3376";"3A";88017
"IWA3600";"IWA3600";"3A";88017
"IWA3771";"IWA3771";"3A";88017
"IWA3772";"IWA3772";"3A";88017
"IWA3929";"IWA3929";"3A";88017
"IWA4917";"IWA4917";"3A";88017
"IWA4923";"IWA4923";"3A";88017
"IWA4930";"IWA4930";"3A";88017
"IWA5632";"IWA5632";"3A";88017
"IWA6907";"IWA6907";"3A";88017
"IWA7150";"IWA7150";"3A";88017
"IWA73";"IWA73";"3A";88017
"IWA7355";"IWA7355";"3A";88017
"IWA7476";"IWA7476";"3A";88017
"IWA7564";"IWA7564";"3A";88017
"IWA7817";"IWA7817";"3A";88017
"IWA7891";"IWA7891";"3A";88017
"IWA7970";"IWA7970";"3A";88017
"IWA8061";"IWA8061";"3A";88017
"IWA4075";"IWA4075";"3A";89040
"IWA8580";"IWA8580";"3A";89040
"IWA133";"IWA133";"3A";89225
"IWA1998";"IWA1998";"3A";89225
"IWA1999";"IWA1999";"3A";89225
"IWA5311";"IWA5311";"3A";89225
"IWA5312";"IWA5312";"3A";89225
"IWA5313";"IWA5313";"3A";89225
"IWA5314";"IWA5314";"3A";89225
"IWA743";"IWA743";"3A";89225
"IWA8465";"IWA8465";"3A";89225
"IWA1377";"IWA1377";"3A";89357
"IWA4922";"IWA4922";"3A";89357
"IWA7826";"IWA7826";"3A";89357
"IWA8630";"IWA8630";"3A";89357
"IWA5617";"IWA5617";"3A";89470
"IWA6108";"IWA6108";"3A";89470
"IWA8283";"IWA8283";"3A";89470
"IWA1887";"IWA1887";"3A";89483
"IWA2944";"IWA2944";"3A";89483
"IWA5124";"IWA5124";"3A";89483
"IWA5332";"IWA5332";"3A";89483
"IWA5849";"IWA5849";"3A";89483
"IWA7541";"IWA7541";"3A";89483
"IWA236";"IWA236";"3A";90312
"IWA5994";"IWA5994";"3A";90312
"IWA7350";"IWA7350";"3A";90312
"IWA7440";"IWA7440";"3A";90312
"IWA1536";"IWA1536";"3A";90494
"IWA1605";"IWA1605";"3A";90494
"IWA1700";"IWA1700";"3A";90494
"IWA3512";"IWA3512";"3A";90494
"IWA3999";"IWA3999";"3A";90494
"IWA4707";"IWA4707";"3A";90494
"IWA6914";"IWA6914";"3A";90494
"IWA1085";"IWA1085";"3A";90550
"IWA132";"IWA132";"3A";90550
"IWA1762";"IWA1762";"3A";90550
"IWA2332";"IWA2332";"3A";90550
"IWA234";"IWA234";"3A";90550
"IWA3198";"IWA3198";"3A";90550
"IWA4001";"IWA4001";"3A";90550
"IWA4110";"IWA4110";"3A";90550
"IWA5286";"IWA5286";"3A";90550
"IWA5316";"IWA5316";"3A";90550
"IWA5578";"IWA5578";"3A";90550
"IWA5579";"IWA5579";"3A";90550
"IWA6187";"IWA6187";"3A";90550
"IWA7159";"IWA7159";"3A";90550
"IWA7877";"IWA7877";"3A";90550
"IWA1831";"IWA1831";"3A";94519
"IWA7073";"IWA7073";"3A";95250
"IWA1462";"IWA1462";"3A";98179
"IWA2649";"IWA2649";"3A";98694
"IWA1260";"IWA1260";"3A";101005
"IWA6652";"IWA6652";"3A";101005
"IWA3078";"IWA3078";"3A";103309
"IWA4053";"IWA4053";"3A";104945
"IWA8162";"IWA8162";"3A";105054
"IWA4851";"IWA4851";"3A";105667
"IWA4926";"IWA4926";"3A";105667
"IWA6996";"IWA6996";"3A";105667
"IWA6997";"IWA6997";"3A";105667
"IWA2348";"IWA2348";"3A";108897
"IWA3543";"IWA3543";"3A";108897
"IWA3545";"IWA3545";"3A";108897
"IWA5114";"IWA5114";"3A";108897
"IWA5601";"IWA5601";"3A";108897
"IWA5602";"IWA5602";"3A";108897
"IWA5657";"IWA5657";"3A";108897
"IWA444";"IWA444";"3A";109224
"IWA445";"IWA445";"3A";109224
"IWA1778";"IWA1778";"3A";109946
"IWA3524";"IWA3524";"3A";109946
"IWA4296";"IWA4296";"3A";109946
"IWA4297";"IWA4297";"3A";109946
"IWA4298";"IWA4298";"3A";109946
"IWA4308";"IWA4308";"3A";109946
"IWA4810";"IWA4810";"3A";109946
"IWA5455";"IWA5455";"3A";109946
"IWA5456";"IWA5456";"3A";109946
"IWA6174";"IWA6174";"3A";109946
"IWA7469";"IWA7469";"3A";109946
"IWA7643";"IWA7643";"3A";109946
"IWA7695";"IWA7695";"3A";109946
"IWA7696";"IWA7696";"3A";111280
"IWA623";"IWA623";"3A";111622
"IWA1877";"IWA1877";"3A";113176
"IWA1878";"IWA1878";"3A";113176
"IWA1891";"IWA1891";"3A";113176
"IWA1892";"IWA1892";"3A";113176
"IWA5419";"IWA5419";"3A";113176
"IWA5595";"IWA5595";"3A";113176
"IWA5596";"IWA5596";"3A";113176
"IWA6672";"IWA6672";"3A";113176
"IWA7324";"IWA7324";"3A";113176
"IWA1612";"IWA1612";"3A";122682
"IWA3111";"IWA3111";"3A";123006
"IWA6513";"IWA6513";"3A";123006
"IWA855";"IWA855";"3A";123006
"IWA1611";"IWA1611";"3A";123053
"IWA5212";"IWA5212";"3A";123922
"IWA7602";"IWA7602";"3A";123922
"IWA2028";"IWA2028";"3A";130173
"IWA524";"IWA524";"3A";131338
"IWA799";"IWA799";"3A";131338
"IWA926";"IWA926";"3A";131338
"IWA2029";"IWA2029";"3A";131554
"IWA6396";"IWA6396";"3A";141544
"IWA7297";"IWA7297";"3A";149487
"IWA1366";"IWA1366";"3A";158356
"IWA390";"IWA390";"3A";159671
"IWA94";"IWA94";"3A";161332
"IWA95";"IWA95";"3A";161332
"IWA2870";"IWA2870";"3A";177242
"IWA3559";"IWA3559";"3A";177242
"IWA3560";"IWA3560";"3A";177242
"IWA602";"IWA602";"3A";182545
"IWA3178";"IWA3178";"3A";188378
"IWA4850";"IWA4850";"3A";188378
"IWA6471";"IWA6471";"3B";10884
"IWA5202";"IWA5202";"3B";11559
"IWA2177";"IWA2177";"3B";14105
"IWA4800";"IWA4800";"3B";20135
"IWA5426";"IWA5426";"3B";20668
"IWA7647";"IWA7647";"3B";31535
"IWA2037";"IWA2037";"3B";34200
"IWA8303";"IWA8303";"3B";37288
"IWA8460";"IWA8460";"3B";56128
"IWA3150";"IWA3150";"3B";57238
"IWA6919";"IWA6919";"3B";57238
"IWA6192";"IWA6192";"3B";59779
"IWA3725";"IWA3725";"3B";60251
"IWA4575";"IWA4575";"3B";61639
"IWA4838";"IWA4838";"3B";61639
"IWA747";"IWA747";"3B";61639
"IWA748";"IWA748";"3B";61639
"IWA347";"IWA347";"3B";61894
"IWA5325";"IWA5325";"3B";61894
"IWA6482";"IWA6482";"3B";61894
"IWA1459";"IWA1459";"3B";61909
"IWA2409";"IWA2409";"3B";61909
"IWA3390";"IWA3390";"3B";61909
"IWA1863";"IWA1863";"3B";62311
"IWA4040";"IWA4040";"3B";62311
"IWA4310";"IWA4310";"3B";62311
"IWA4412";"IWA4412";"3B";62311
"IWA4755";"IWA4755";"3B";62311
"IWA5556";"IWA5556";"3B";62311
"IWA6243";"IWA6243";"3B";62311
"IWA1416";"IWA1416";"3B";62569
"IWA1417";"IWA1417";"3B";62569
"IWA1827";"IWA1827";"3B";62569
"IWA186";"IWA186";"3B";62569
"IWA2074";"IWA2074";"3B";62569
"IWA2662";"IWA2662";"3B";62569
"IWA2663";"IWA2663";"3B";62569
"IWA316";"IWA316";"3B";62569
"IWA3788";"IWA3788";"3B";62569
"IWA4054";"IWA4054";"3B";62569
"IWA5925";"IWA5925";"3B";62569
"IWA5960";"IWA5960";"3B";62569
"IWA6185";"IWA6185";"3B";62569
"IWA6200";"IWA6200";"3B";62569
"IWA6761";"IWA6761";"3B";62569
"IWA8326";"IWA8326";"3B";62569
"IWA8457";"IWA8457";"3B";62569
"IWA3716";"IWA3716";"3B";62666
"IWA5995";"IWA5995";"3B";62666
"IWA6165";"IWA6165";"3B";62666
"IWA682";"IWA682";"3B";62666
"IWA7294";"IWA7294";"3B";62666
"IWA292";"IWA292";"3B";63837
"IWA2990";"IWA2990";"3B";63962
"IWA4685";"IWA4685";"3B";63962
"IWA2492";"IWA2492";"3B";64047
"IWA5880";"IWA5880";"3B";64592
"IWA5677";"IWA5677";"3B";64749
"IWA5250";"IWA5250";"3B";64787
"IWA5251";"IWA5251";"3B";64787
"IWA1206";"IWA1206";"3B";65554
"IWA5351";"IWA5351";"3B";65554
"IWA5638";"IWA5638";"3B";65554
"IWA5787";"IWA5787";"3B";65554
"IWA5788";"IWA5788";"3B";65554
"IWA5813";"IWA5813";"3B";65554
"IWA6655";"IWA6655";"3B";65554
"IWA781";"IWA781";"3B";65554
"IWA210";"IWA210";"3B";65707
"IWA211";"IWA211";"3B";65722
"IWA2494";"IWA2494";"3B";66627
"IWA6086";"IWA6086";"3B";66782
"IWA898";"IWA898";"3B";66782
"IWA1383";"IWA1383";"3B";67455
"IWA2329";"IWA2329";"3B";67455
"IWA2622";"IWA2622";"3B";67455
"IWA2999";"IWA2999";"3B";67455
"IWA3000";"IWA3000";"3B";67455
"IWA3001";"IWA3001";"3B";67455
"IWA3504";"IWA3504";"3B";67455
"IWA5814";"IWA5814";"3B";67455
"IWA6213";"IWA6213";"3B";67455
"IWA6279";"IWA6279";"3B";67455
"IWA628";"IWA628";"3B";67455
"IWA629";"IWA629";"3B";67455
"IWA6677";"IWA6677";"3B";67455
"IWA6794";"IWA6794";"3B";67455
"IWA7595";"IWA7595";"3B";67455
"IWA3383";"IWA3383";"3B";67670
"IWA7905";"IWA7905";"3B";67670
"IWA5886";"IWA5886";"3B";68102
"IWA4195";"IWA4195";"3B";68710
"IWA4235";"IWA4235";"3B";68710
"IWA4236";"IWA4236";"3B";68710
"IWA537";"IWA537";"3B";68710
"IWA610";"IWA610";"3B";68710
"IWA1607";"IWA1607";"3B";68870
"IWA1898";"IWA1898";"3B";68870
"IWA2672";"IWA2672";"3B";68870
"IWA2800";"IWA2800";"3B";68870
"IWA3218";"IWA3218";"3B";68870
"IWA3997";"IWA3997";"3B";68870
"IWA4193";"IWA4193";"3B";68870
"IWA4194";"IWA4194";"3B";68870
"IWA4630";"IWA4630";"3B";68870
"IWA611";"IWA611";"3B";68870
"IWA7247";"IWA7247";"3B";68870
"IWA7333";"IWA7333";"3B";68870
"IWA7534";"IWA7534";"3B";68870
"IWA2841";"IWA2841";"3B";69372
"IWA5890";"IWA5890";"3B";69527
"IWA6297";"IWA6297";"3B";69720
"IWA2022";"IWA2022";"3B";70088
"IWA3710";"IWA3710";"3B";70088
"IWA3711";"IWA3711";"3B";70088
"IWA5902";"IWA5902";"3B";70088
"IWA8531";"IWA8531";"3B";70088
"IWA239";"IWA239";"3B";71123
"IWA4267";"IWA4267";"3B";71340
"IWA4268";"IWA4268";"3B";71340
"IWA4269";"IWA4269";"3B";71340
"IWA4439";"IWA4439";"3B";71340
"IWA5626";"IWA5626";"3B";71340
"IWA6720";"IWA6720";"3B";71340
"IWA7035";"IWA7035";"3B";71340
"IWA7353";"IWA7353";"3B";71340
"IWA7510";"IWA7510";"3B";71340
"IWA7519";"IWA7519";"3B";71340
"IWA8196";"IWA8196";"3B";71340
"IWA4721";"IWA4721";"3B";71650
"IWA3304";"IWA3304";"3B";72018
"IWA7512";"IWA7512";"3B";72118
"IWA1704";"IWA1704";"3B";72238
"IWA3305";"IWA3305";"3B";72238
"IWA3306";"IWA3306";"3B";72238
"IWA6493";"IWA6493";"3B";72238
"IWA7516";"IWA7516";"3B";72238
"IWA4653";"IWA4653";"3B";73133
"IWA5710";"IWA5710";"3B";73133
"IWA8290";"IWA8290";"3B";73133
"IWA171";"IWA171";"3B";73353
"IWA8520";"IWA8520";"3B";73353
"IWA6158";"IWA6158";"3B";74226
"IWA1196";"IWA1196";"3B";74263
"IWA1467";"IWA1467";"3B";74263
"IWA1468";"IWA1468";"3B";74263
"IWA4847";"IWA4847";"3B";74263
"IWA5775";"IWA5775";"3B";74263
"IWA7225";"IWA7225";"3B";74263
"IWA3439";"IWA3439";"3B";74951
"IWA5165";"IWA5165";"3B";74951
"IWA1598";"IWA1598";"3B";75191
"IWA2400";"IWA2400";"3B";75191
"IWA3046";"IWA3046";"3B";75191
"IWA3244";"IWA3244";"3B";75191
"IWA7131";"IWA7131";"3B";75191
"IWA321";"IWA321";"3B";75436
"IWA4841";"IWA4841";"3B";76596
"IWA2399";"IWA2399";"3B";76911
"IWA2510";"IWA2510";"3B";76911
"IWA2661";"IWA2661";"3B";76911
"IWA3834";"IWA3834";"3B";76911
"IWA3835";"IWA3835";"3B";76911
"IWA7221";"IWA7221";"3B";76911
"IWA2124";"IWA2124";"3B";77091
"IWA1332";"IWA1332";"3B";77229
"IWA1334";"IWA1334";"3B";77229
"IWA2204";"IWA2204";"3B";77229
"IWA2361";"IWA2361";"3B";77229
"IWA4457";"IWA4457";"3B";77229
"IWA6552";"IWA6552";"3B";77229
"IWA7870";"IWA7870";"3B";77229
"IWA8136";"IWA8136";"3B";77229
"IWA8137";"IWA8137";"3B";77229
"IWA1331";"IWA1331";"3B";77246
"IWA1333";"IWA1333";"3B";77246
"IWA3402";"IWA3402";"3B";77246
"IWA3601";"IWA3601";"3B";77246
"IWA2720";"IWA2720";"3B";78161
"IWA2721";"IWA2721";"3B";78161
"IWA4942";"IWA4942";"3B";78161
"IWA624";"IWA624";"3B";80129
"IWA6299";"IWA6299";"3B";80129
"IWA714";"IWA714";"3B";80129
"IWA81";"IWA81";"3B";80129
"IWA8490";"IWA8490";"3B";80757
"IWA5871";"IWA5871";"3B";80762
"IWA125";"IWA125";"3B";80992
"IWA1541";"IWA1541";"3B";80992
"IWA1682";"IWA1682";"3B";80992
"IWA1683";"IWA1683";"3B";80992
"IWA2063";"IWA2063";"3B";80992
"IWA2978";"IWA2978";"3B";80992
"IWA3669";"IWA3669";"3B";80992
"IWA4146";"IWA4146";"3B";80992
"IWA6542";"IWA6542";"3B";80992
"IWA7561";"IWA7561";"3B";80992
"IWA7679";"IWA7679";"3B";81797
"IWA7680";"IWA7680";"3B";81797
"IWA299";"IWA299";"3B";82157
"IWA1732";"IWA1732";"3B";82187
"IWA1733";"IWA1733";"3B";82187
"IWA4497";"IWA4497";"3B";82187
"IWA5324";"IWA5324";"3B";82187
"IWA5510";"IWA5510";"3B";82549
"IWA1548";"IWA1548";"3B";84490
"IWA6357";"IWA6357";"3B";84490
"IWA7973";"IWA7973";"3B";84490
"IWA8169";"IWA8169";"3B";84490
"IWA3331";"IWA3331";"3B";85517
"IWA5015";"IWA5015";"3B";85517
"IWA3667";"IWA3667";"3B";86975
"IWA4778";"IWA4778";"3B";88075
"IWA8354";"IWA8354";"3B";88313
"IWA6056";"IWA6056";"3B";89128
"IWA6057";"IWA6057";"3B";89128
"IWA4600";"IWA4600";"3B";97026
"IWA7542";"IWA7542";"3B";110153
"IWA785";"IWA785";"3B";115359
"IWA787";"IWA787";"3B";115359
"IWA939";"IWA939";"3B";119377
"IWA8058";"IWA8058";"3B";119902
"IWA6273";"IWA6273";"3B";132094
"IWA2148";"IWA2148";"3B";140508
"IWA5892";"IWA5892";"3B";143293
"IWA1756";"IWA1756";"3B";143441
"IWA8203";"IWA8203";"3B";144743
"IWA4581";"IWA4581";"3D";12848
"IWA2293";"IWA2293";"3D";40508
"IWA5750";"IWA5750";"3D";42221
"IWA5816";"IWA5816";"3D";42221
"IWA4209";"IWA4209";"3D";67152
"IWA4647";"IWA4647";"3D";70179
"IWA3573";"IWA3573";"3D";74112
"IWA7086";"IWA7086";"3D";92722
"IWA1123";"IWA1123";"3D";97657
"IWA2088";"IWA2088";"3D";98196
"IWA2111";"IWA2111";"3D";98196
"IWA2112";"IWA2112";"3D";98196
"IWA5554";"IWA5554";"3D";98196
"IWA4843";"IWA4843";"3D";101236
"IWA1082";"IWA1082";"3D";104575
"IWA2727";"IWA2727";"3D";106768
"IWA8179";"IWA8179";"3D";107870
"IWA4081";"IWA4081";"3D";142318
"IWA643";"IWA643";"3D";142318
"IWA1715";"IWA1715";"3D";143007
"IWA6777";"IWA6777";"3D";143007
"IWA7274";"IWA7274";"3D";143007
"IWA1796";"IWA1796";"3D";146511
"IWA1624";"IWA1624";"3D";148409
"IWA8059";"IWA8059";"3D";148409
"IWA5223";"IWA5223";"3D";148484
"IWA6485";"IWA6485";"3D";149826
"IWA6137";"IWA6137";"4A";11598
"IWA4981";"IWA4981";"4A";24907
"IWA54";"IWA54";"4A";29863
"IWA7632";"IWA7632";"4A";29863
"IWA8389";"IWA8389";"4A";29863
"IWA3161";"IWA3161";"4A";30901
"IWA3993";"IWA3993";"4A";33770
"IWA7394";"IWA7394";"4A";37053
"IWA1137";"IWA1137";"4A";37948
"IWA4232";"IWA4232";"4A";39942
"IWA2533";"IWA2533";"4A";40270
"IWA5363";"IWA5363";"4A";40270
"IWA603";"IWA603";"4A";40733
"IWA4260";"IWA4260";"4A";41019
"IWA4261";"IWA4261";"4A";41019
"IWA4320";"IWA4320";"4A";41019
"IWA4479";"IWA4479";"4A";42840
"IWA1992";"IWA1992";"4A";43195
"IWA4252";"IWA4252";"4A";43195
"IWA4251";"IWA4251";"4A";43389
"IWA3584";"IWA3584";"4A";44450
"IWA7521";"IWA7521";"4A";47018
"IWA1320";"IWA1320";"4A";47532
"IWA1969";"IWA1969";"4A";47532
"IWA3119";"IWA3119";"4A";47532
"IWA3308";"IWA3308";"4A";47532
"IWA3309";"IWA3309";"4A";47532
"IWA3671";"IWA3671";"4A";47532
"IWA3763";"IWA3763";"4A";47532
"IWA5127";"IWA5127";"4A";47532
"IWA5196";"IWA5196";"4A";47532
"IWA5457";"IWA5457";"4A";47532
"IWA6659";"IWA6659";"4A";47532
"IWA6678";"IWA6678";"4A";47532
"IWA6701";"IWA6701";"4A";47532
"IWA6911";"IWA6911";"4A";47532
"IWA750";"IWA750";"4A";47532
"IWA8265";"IWA8265";"4A";47532
"IWA912";"IWA912";"4A";47532
"IWA5897";"IWA5897";"4A";48240
"IWA109";"IWA109";"4A";48524
"IWA110";"IWA110";"4A";48524
"IWA115";"IWA115";"4A";48524
"IWA1329";"IWA1329";"4A";48524
"IWA1341";"IWA1341";"4A";48524
"IWA142";"IWA142";"4A";48524
"IWA157";"IWA157";"4A";48524
"IWA160";"IWA160";"4A";48524
"IWA1639";"IWA1639";"4A";48524
"IWA1694";"IWA1694";"4A";48524
"IWA172";"IWA172";"4A";48524
"IWA1824";"IWA1824";"4A";48524
"IWA1919";"IWA1919";"4A";48524
"IWA296";"IWA296";"4A";48524
"IWA3028";"IWA3028";"4A";48524
"IWA3029";"IWA3029";"4A";48524
"IWA3311";"IWA3311";"4A";48524
"IWA3326";"IWA3326";"4A";48524
"IWA3344";"IWA3344";"4A";48524
"IWA3541";"IWA3541";"4A";48524
"IWA3542";"IWA3542";"4A";48524
"IWA3565";"IWA3565";"4A";48524
"IWA3582";"IWA3582";"4A";48524
"IWA3604";"IWA3604";"4A";48524
"IWA385";"IWA385";"4A";48524
"IWA4405";"IWA4405";"4A";48524
"IWA4772";"IWA4772";"4A";48524
"IWA493";"IWA493";"4A";48524
"IWA5652";"IWA5652";"4A";48524
"IWA5851";"IWA5851";"4A";48524
"IWA5865";"IWA5865";"4A";48524
"IWA5975";"IWA5975";"4A";48524
"IWA6103";"IWA6103";"4A";48524
"IWA6531";"IWA6531";"4A";48524
"IWA6873";"IWA6873";"4A";48524
"IWA7092";"IWA7092";"4A";48524
"IWA7133";"IWA7133";"4A";48524
"IWA7134";"IWA7134";"4A";48524
"IWA7216";"IWA7216";"4A";48524
"IWA7271";"IWA7271";"4A";48524
"IWA7522";"IWA7522";"4A";48524
"IWA8220";"IWA8220";"4A";48524
"IWA112";"IWA112";"4A";48654
"IWA4079";"IWA4079";"4A";48654
"IWA1060";"IWA1060";"4A";48838
"IWA1693";"IWA1693";"4A";48838
"IWA1904";"IWA1904";"4A";48838
"IWA2334";"IWA2334";"4A";48838
"IWA2781";"IWA2781";"4A";48838
"IWA3088";"IWA3088";"4A";48838
"IWA3361";"IWA3361";"4A";48838
"IWA4230";"IWA4230";"4A";48838
"IWA4406";"IWA4406";"4A";48838
"IWA4608";"IWA4608";"4A";48838
"IWA4700";"IWA4700";"4A";48838
"IWA4771";"IWA4771";"4A";48838
"IWA6597";"IWA6597";"4A";48838
"IWA7270";"IWA7270";"4A";48838
"IWA7859";"IWA7859";"4A";48838
